NCESSCH,ga_full_id,SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,System_School_ID,FAC_SCHTYPE,GRADE_RANGE,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
130255001144,667-276,2024.0,667.0,Gwinnett County,276.0,Sweetwater Middle School,667-276,M,06-08,1302550,Sweetwater Middle School,13,3500 Cruse Rd,Lawrenceville,GA,30044,13,13135,Gwinnett County,21,33.9265,-84.1076,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13109,13005,2023-2024
130255001112,667-275,2024.0,667.0,Gwinnett County,275.0,Knight Elementary School,667-275,E,PK-05,1302550,Knight Elementary School,13,401 N River Dr SW,Lilburn,GA,30047,13,13135,Gwinnett County,21,33.8857,-84.1002,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13108,13009,2023-2024
130255003382,667-210,2024.0,667.0,Gwinnett County,210.0,Lovin Elementary School,667-210,E,PK-05,1302550,Lovin Elementary School,13,1705 New Hope Rd,Lawrenceville,GA,30045,13,13135,Gwinnett County,21,33.923152,-83.922052,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13102,13009,2023-2024
130255003998,667-1018,2024.0,667.0,Gwinnett County,1018.0,Lanier High School,667-1018,H,09-12,1302550,Lanier High School,13,918 Buford Hwy,Sugar Hill,GA,30518,13,13135,Gwinnett County,21,34.086,-84.0322,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13103,13045,2023-2024
130255003738,667-209,2024.0,667.0,Gwinnett County,209.0,Lanier Middle School,667-209,M,06-08,1302550,Lanier Middle School,13,6482 Suwanee Dam Rd,Sugar Hill,GA,30518,13,13135,Gwinnett County,21,34.148298,-84.065636,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1306,13100,13048,2023-2024
130255003381,667-208,2024.0,667.0,Gwinnett County,208.0,Mulberry Elementary School,667-208,E,PK-05,1302550,Mulberry Elementary School,13,442 E Union Grove Cir,Auburn,GA,30011,13,13135,Gwinnett County,41,34.0316,-83.8633,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13104,13045,2023-2024
130255002898,667-205,2024.0,667.0,Gwinnett County,205.0,Corley Elementary School,667-205,E,PK-05,1302550,Corley Elementary School,13,1331 Pleasant Hill Rd,Lawrenceville,GA,30044,13,13135,Gwinnett County,21,33.9364,-84.1231,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13109,13005,2023-2024
130255003380,667-204,2024.0,667.0,Gwinnett County,204.0,Osborne Middle School,667-204,M,06-08,1302550,Osborne Middle School,13,4404 Braselton Hwy,Hoschton,GA,30548,13,13135,Gwinnett County,21,34.078014,-83.872967,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13104,13045,2023-2024
130255002323,667-200,2024.0,667.0,Gwinnett County,200.0,Freeman's Mill Elementary School,667-200,E,PK-05,1302550,Freeman's Mill Elementary School,13,2303 Old Peachtree Rd,Lawrenceville,GA,30043,13,13135,Gwinnett County,21,34.0305,-83.9389,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13105,13045,2023-2024
130255002196,667-198,2024.0,667.0,Gwinnett County,198.0,Crews Middle School,667-198,M,06-08,1302550,Crews Middle School,13,1000 Old Snellville Hwy,Lawrenceville,GA,30044,13,13135,Gwinnett County,21,33.9071,-84.0088,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13102,13009,2023-2024
130255001632,667-197,2024.0,667.0,Gwinnett County,197.0,Creekland Middle School,667-197,M,06-08,1302550,Creekland Middle School,13,170 Russell Rd,Lawrenceville,GA,30043,13,13135,Gwinnett County,21,34.0011,-84.008,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13101,13007,2023-2024
130255001249,667-196,2024.0,667.0,Gwinnett County,196.0,Harbins Elementary School,667-196,E,PK-05,1302550,Harbins Elementary School,13,3550 New Hope Rd,Dacula,GA,30019,13,13135,Gwinnett County,41,33.9439,-83.8574,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1307,13111,13046,2023-2024
